index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(18,)","(19,)"
"(10,)",(0.00021770326717633208-8.794553292489378e-05j),(-0.00016094822506353886-0.00019149842984697373j),(-0.00019681910470660736+0.0004818185385517989j),(0.00020549579291874754+0.0005183696422517341j),(0.00054948956882013+0.00025118514487431834j),(0.0006281178116296445-0.00021852697222936752j),(0.0003424839870223976-0.0006669350315355369j),(-0.00024535450309782494-0.0008456528905891052j),(-0.0009926910038720095-0.0006100199088149562j),(-0.0001879683830435658+0.0011470268453972687j),(-0.0018763241662197057+0.002466464800152872j),(0.0007874248182848855+0.0023497353299592465j),(-0.00019137267430308804+2.898309487958584e-05j),(7.481443182904508e-07-0.0011246637601201245j),(0.0003452895138194363-0.0009208776278031757j),(0.0006753875119708317-0.0004960572499426056j),(0.0007350364939347024+2.0049417148502736e-05j),(0.0004940775176053037+0.00043869187103783713j),(7.542945102445946e-05+0.0005993507915448521j),(-0.00031900390577722004+0.0004595306034400725j)
"(11,)",(0.00020171649525773958-0.00010202264356550425j),(-0.00014596294731573174-0.00025879340875916194j),(-0.0003190039057772444+0.0004595306034400677j),(7.542945102444805e-05+0.000599350791544863j),(0.0004940775176053118+0.0004386918710378574j),(0.000735036493934724+2.0049417148521794e-05j),(0.0006753875119708512-0.0004960572499426142j),(0.00034528951381946146-0.0009208776278031813j),(7.481443183628283e-07-0.0011246637601201445j),(-0.0001913726743031493+2.898309487956687e-05j),(0.0007874248182848855+0.0023497353299592465j),(-0.0018763241662197+0.0024664648001528804j),(-0.00018796838304356212+0.0011470268453972674j),(-0.0009926910038720396-0.0006100199088149458j),(-0.00024535450309781204-0.0008456528905891283j),(0.00034248398702243013-0.0006669350315355384j),(0.000628117811629653-0.00021852697222936234j),(0.0005494895688201223+0.00025118514487433737j),(0.00020549579291875028+0.0005183696422517407j),(-0.00019681910470660757+0.0004818185385518073j)
"(12,)",(-0.00036762309288051803-0.00026693959167290045j),(-0.00031900390577722964+0.0004595306034400809j),(0.001036350220527944+0.00014462877136026716j),(0.0009340069340127352-0.0006169973667901688j),(0.0003359364961017954-0.001158651640421339j),(-0.0004997333659400203-0.0012079478577531777j),(-0.0011883332847018868-0.0007467643056435711j),(-0.0013635771202531808-3.754937740109874e-05j),(-0.0009938063097500972+0.0013193051195806102j),(-2.246004543527368e-05+0.004122129874236407j),(-0.00019137267430308804+2.898309487958584e-05j),(-0.00018796838304356212+0.0011470268453972674j),(-0.0025756183106711607+0.0030079952887985717j),(-0.00019913473623553216+0.0011449284142379197j),(-0.001700366598320348+0.0011764705004202293j),(-0.001636741458282571-0.00013327467565641478j),(-0.0009778178585734623-0.0010318836964794292j),(-1.5619524853297953e-05-0.0012710915679423449j),(0.0007832757665221051-0.0008559601554199475j),(0.0010712718870928937-7.765022959911952e-05j)
"(13,)",(-0.00048087450697068543+6.371221243682084e-05j),(7.542945102443167e-05+0.0005993507915448701j),(0.0009340069340127774-0.0006169973667901081j),(0.0003359364961018615-0.0011586516404213227j),(-0.0004997333659399435-0.0012079478577532103j),(-0.0011883332847018454-0.000746764305643641j),(-0.0013635771202531871-3.754937740117281e-05j),(-0.0009938063097501078+0.0013193051195805668j),(-2.246004543527068e-05+0.004122129874236406j),(-0.0009938063097501022+0.0013193051195806045j),(7.481443182904508e-07-0.0011246637601201245j),(-0.0009926910038720396-0.0006100199088149458j),(-0.00019913473623553216+0.0011449284142379197j),(-0.002575618310671163+0.0030079952887985743j),(-0.00019913473623553446+0.0011449284142379197j),(-0.0017003665983204297+0.0011764705004201177j),(-0.001636741458282564-0.00013327467565646633j),(-0.0009778178585733903-0.0010318836964795042j),(-1.5619524853251308e-05-0.0012710915679423566j),(0.0007832757665221368-0.0008559601554198983j)
"(14,)",(-0.0003295609704343782+0.0004061180266950907j),(0.0004940775176053186+0.00043869187103785063j),(0.00033593649610183236-0.0011586516404213192j),(-0.0004997333659399822-0.001207947857753182j),(-0.0011883332847018547-0.0007467643056436095j),(-0.0013635771202531784-3.754937740114378e-05j),(-0.000993806309750094+0.0013193051195805978j),(-2.2460045435263735e-05+0.004122129874236402j),(-0.0009938063097500805+0.001319305119580615j),(-0.0013635771202531828-3.754937740117394e-05j),(0.0003452895138194363-0.0009208776278031757j),(-0.00024535450309781204-0.0008456528905891283j),(-0.001700366598320348+0.0011764705004202293j),(-0.00019913473623553446+0.0011449284142379197j),(-0.0025756183106711633+0.0030079952887985765j),(-0.0001991347362355343+0.0011449284142379197j),(-0.001700366598320361+0.0011764705004201864j),(-0.0016367414582825444-0.00013327467565645964j),(-0.0009778178585734365-0.0010318836964794585j),(-1.5619524853297112e-05-0.0012710915679423453j)
"(15,)",(4.0987768992651504e-05+0.0005699129023530679j),(0.0007350364939347134+2.0049417148510305e-05j),(-0.0004997333659399916-0.001207947857753182j),(-0.0011883332847018636-0.0007467643056435878j),(-0.0013635771202531752-3.7549377401127326e-05j),(-0.000993806309750083+0.0013193051195806065j),(-2.24600454352618e-05+0.004122129874236412j),(-0.0009938063097500902+0.001319305119580587j),(-0.0013635771202531735-3.7549377401128174e-05j),(-0.0011883332847018343-0.000746764305643653j),(0.0006753875119708317-0.0004960572499426056j),(0.00034248398702243013-0.0006669350315355384j),(-0.001636741458282571-0.00013327467565641478j),(-0.0017003665983204297+0.0011764705004201177j),(-0.0001991347362355343+0.0011449284142379197j),(-0.002575618310671164+0.0030079952887985765j),(-0.00019913473623553354+0.00114492841423792j),(-0.0017003665983203575+0.0011764705004201678j),(-0.0016367414582825687-0.00013327467565640654j),(-0.0009778178585734497-0.001031883696479428j)
"(16,)",(0.00046430534748722945+0.0004345236238017277j),(0.00067538751197085-0.0004960572499426063j),(-0.001188333284701847-0.0007467643056436157j),(-0.0013635771202531748-3.7549377401148895e-05j),(-0.0009938063097500963+0.0013193051195805813j),(-2.2460045435260072e-05+0.004122129874236412j),(-0.0009938063097500816+0.001319305119580601j),(-0.0013635771202531665-3.754937740111468e-05j),(-0.0011883332847018747-0.0007467643056435715j),(-0.000499733365939967-0.001207947857753193j),(0.0007350364939347024+2.0049417148502736e-05j),(0.000628117811629653-0.00021852697222936234j),(-0.0009778178585734623-0.0010318836964794292j),(-0.001636741458282564-0.00013327467565646633j),(-0.001700366598320361+0.0011764705004201864j),(-0.00019913473623553354+0.00114492841423792j),(-0.002575618310671164+0.0030079952887985782j),(-0.00019913473623553533+0.001144928414237919j),(-0.0017003665983203803+0.0011764705004201812j),(-0.0016367414582825553-0.00013327467565642825j)
"(17,)",(0.0007274324936864315+1.3978341310108357e-05j),(0.00034528951381944476-0.0009208776278031797j),(-0.0013635771202531659-3.754937740112934e-05j),(-0.0009938063097500816+0.001319305119580603j),(-2.2460045435255132e-05+0.004122129874236411j),(-0.0009938063097500894+0.0013193051195805863j),(-0.0013635771202531659-3.754937740115374e-05j),(-0.0011883332847018374-0.0007467643056436064j),(-0.0004997333659399897-0.0012079478577531767j),(0.00033593649610186223-0.0011586516404213081j),(0.0004940775176053037+0.00043869187103783713j),(0.0005494895688201223+0.00025118514487433737j),(-1.5619524853297953e-05-0.0012710915679423449j),(-0.0009778178585733903-0.0010318836964795042j),(-0.0016367414582825444-0.00013327467565645964j),(-0.0017003665983203575+0.0011764705004201678j),(-0.00019913473623553533+0.001144928414237919j),(-0.0025756183106711615+0.003007995288798577j),(-0.00019913473623553346+0.0011449284142379182j),(-0.0017003665983203304+0.0011764705004202063j)
"(18,)",(0.0006729164461199106-0.0005448871532419635j),(7.481443183458379e-07-0.0011246637601201417j),(-0.0009938063097501009+0.0013193051195805846j),(-2.2460045435268973e-05+0.0041221298742364085j),(-0.000993806309750092+0.001319305119580611j),(-0.001363577120253184-3.7549377401125626e-05j),(-0.0011883332847018617-0.0007467643056435995j),(-0.000499733365939995-0.001207947857753178j),(0.0003359364961017893-0.0011586516404213474j),(0.0009340069340127645-0.0006169973667901422j),(7.542945102445946e-05+0.0005993507915448521j),(0.00020549579291875028+0.0005183696422517407j),(0.0007832757665221051-0.0008559601554199475j),(-1.5619524853251308e-05-0.0012710915679423566j),(-0.0009778178585734365-0.0010318836964794585j),(-0.0016367414582825687-0.00013327467565640654j),(-0.0017003665983203803+0.0011764705004201812j),(-0.00019913473623553346+0.0011449284142379182j),(-0.0025756183106711633+0.003007995288798575j),(-0.00019913473623553375+0.00114492841423792j)
"(19,)",(0.0006904158422230294-0.0001614653489101401j),(-0.00019137267430310254+2.898309487958972e-05j),(-2.2460045435260804e-05+0.004122129874236413j),(-0.0009938063097500807+0.0013193051195806123j),(-0.0013635771202531756-3.7549377401101583e-05j),(-0.0011883332847018617-0.0007467643056435823j),(-0.0004997333659399939-0.001207947857753174j),(0.00033593649610180444-0.0011586516404213235j),(0.0009340069340127298-0.0006169973667901761j),(0.001036350220527934+0.00014462877136029156j),(-0.00031900390577722004+0.0004595306034400725j),(-0.00019681910470660757+0.0004818185385518073j),(0.0010712718870928937-7.765022959911952e-05j),(0.0007832757665221368-0.0008559601554198983j),(-1.5619524853297112e-05-0.0012710915679423453j),(-0.0009778178585734497-0.001031883696479428j),(-0.0016367414582825553-0.00013327467565642825j),(-0.0017003665983203304+0.0011764705004202063j),(-0.00019913473623553375+0.00114492841423792j),(-0.002575618310671165+0.003007995288798577j)
